baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CPAR2_101550	1411.58856914219	-0.205869612052821	0.437137765618699	-0.470949042257754	0.637677125006705	0.883786877177314
CPAR2_101560	1466.50651985166	0.146292536623848	0.379300899774556	0.385689927734944	0.699726323271488	0.90406848262795
CPAR2_101570	1496.13191934174	0.343296392632359	0.388948591168553	0.882626651509297	0.377438023918515	0.72960639685487
CPAR2_101580	2083.30383500817	0.180754965014881	0.278403757966944	0.649254759831019	0.516173722130437	0.818914710655122
CPAR2_101590	1082.95003693846	0.801239082163154	0.519763753434187	1.54154474387489	0.123184261936083	0.471332371669361
CPAR2_101610	2954.39746807453	0.0847270330166205	0.39624158698736	0.213826705219923	0.830682198799404	0.956491744257415
CPAR2_101620	18192.2625827211	0.0351468160295082	0.454744295784611	0.0772891850547926	0.93839349424803	0.980187237112951
CPAR2_101650	735.901447321531	-0.322592698975324	0.373707614072254	-0.86322217377394	0.388015324482703	0.739347399849461
CPAR2_101660	1422.03850673515	0.137708756492338	0.485894203816754	0.283413046318766	0.776860228687509	0.936151888338089
CPAR2_101670	37333.7347631921	0.648322300253052	0.610706390585669	1.06159409864912	0.288419993938624	0.663274576183598
CPAR2_101680	6602.93349687087	1.89181256579133	0.576688407030377	3.28047615094797	0.00103632025913339	0.0294114755362004
